candle_begin_time,open,high,low,close,volume
2017-01-01 04:15:00,963.28,963.9,962.9,962.9,2.9930331199999998
2017-01-01 04:20:00,963.28,963.9,962.91,963.28,2.0589117999999997
2017-01-01 04:25:00,963.08,963.08,963.08,963.08,0.14
2017-01-01 04:30:00,962.9,962.9,962.77,962.77,15.02986579
2017-01-01 04:35:00,962.77,962.77,961.26,961.27,14.512593849999991
2017-01-01 04:40:00,961.27,962.11,961.27,961.33,2.48516205
2017-01-01 04:45:00,962.9,962.95,962.13,962.82,2.56448126
2017-01-01 04:50:00,962.99,962.99,962.51,962.6,15.651231410000001
2017-01-01 05:00:00,962.98,963.0,962.47,962.9,10.306327269999999
2017-01-01 05:05:00,962.22,962.22,962.11,962.11,1.53102792
2017-01-01 05:10:00,962.16,962.98,962.16,962.96,12.465
2017-01-01 05:15:00,962.97,962.97,962.95,962.95,3.13545906
2017-01-01 05:20:00,963.0,963.0,962.99,962.99,0.02913603
2017-01-01 05:25:00,962.98,962.98,962.98,962.98,2.0
2017-01-01 05:30:00,962.9,962.9,962.9,962.9,0.39999999999999997
2017-01-01 05:35:00,962.56,963.0,962.56,963.0,40.94177094
2017-01-01 05:40:00,964.37,964.92,963.95,964.03,17.39209264
2017-01-01 05:45:00,963.7,964.57,963.7,964.45,1.7190214099999999
2017-01-01 05:50:00,963.33,965.2,963.33,965.2,0.39608646999999997
2017-01-01 05:55:00,964.88,964.88,964.88,964.88,0.7261308099999999
2017-01-01 06:00:00,963.9,964.95,963.9,964.95,0.35214824
2017-01-01 06:05:00,963.01,963.49,963.01,963.09,20.17073977
2017-01-01 06:10:00,962.72,963.71,962.72,963.71,0.54565772
2017-01-01 06:25:00,962.83,962.83,962.83,962.83,6.0
2017-01-01 06:30:00,963.49,963.49,963.36,963.37,3.04643647
2017-01-01 06:35:00,963.5,965.84,963.5,965.84,14.53106728
2017-01-01 06:40:00,966.92,967.24,964.94,964.94,21.38728655
2017-01-01 06:45:00,964.95,965.28,964.5,965.18,13.30486165
2017-01-01 06:50:00,965.14,966.53,964.54,964.88,17.50210694
2017-01-01 06:55:00,964.88,967.45,964.88,967.45,8.824175290000001
2017-01-01 07:00:00,966.48,966.55,966.48,966.54,5.23596602
2017-01-01 07:05:00,966.62,966.62,966.62,966.62,0.23684779
2017-01-01 07:10:00,966.62,967.41,966.62,967.41,1.5
2017-01-01 07:15:00,967.0,967.01,966.6,966.67,14.306693999999998
2017-01-01 07:30:00,966.56,966.56,966.55,966.55,2.2
2017-01-01 07:35:00,966.56,966.56,966.21,966.21,1.26288316
2017-01-01 07:45:00,966.3,966.3,966.29,966.3,1.17091957
2017-01-01 07:50:00,966.29,966.29,965.82,965.82,1.2294901
2017-01-01 07:55:00,965.8,965.81,965.8,965.81,0.34621004
2017-01-01 08:00:00,965.81,965.81,965.8,965.8,0.86213216
2017-01-01 08:05:00,963.66,965.8,962.6,964.86,120.40033728
2017-01-01 08:10:00,963.64,964.98,963.64,964.98,10.131894780000001
2017-01-01 08:20:00,964.97,965.0,964.97,965.0,8.15639426
2017-01-01 08:25:00,965.28,965.7,965.27,965.7,4.69307427
2017-01-01 08:30:00,965.47,965.86,965.47,965.67,3.56662173
2017-01-01 08:35:00,965.67,965.67,965.67,965.67,0.7128503300000001
2017-01-01 08:40:00,965.85,965.85,965.85,965.85,0.54805369
2017-01-01 08:45:00,965.85,965.85,965.59,965.59,0.44411171
2017-01-01 08:50:00,965.59,965.59,965.46,965.46,0.10222628
