Date,Time,Open,High,Low,Close,TotalVolume
2017/7/25,21:00:00,2474.6,2574.2,2474.6,2553.9,4523.185591
2017/7/25,22:00:00,2553.8,2563,2521.4,2542,1201.314829
2017/7/25,23:00:00,2541.5,2561,2538.6,2560.9,662.3410364
2017/7/26,0:00:00,2560.9,2612,2560.8,2583.8,1279.975478
2017/7/26,1:00:00,2584.2,2584.9,2554.1,2568.3,990.6911271
2017/7/26,2:00:00,2569.9,2570.7,2474.9,2505.1,2312.021208
2017/7/26,3:00:00,2505.1,2534.4,2459,2508.5,1487.771839
2017/7/26,4:00:00,2506.5,2543.5,2500.6,2509.2,485.3937621
2017/7/26,5:00:00,2509.3,2509.3,2438.1,2466.1,1856.521302
2017/7/26,6:00:00,2466.2,2483.1,2423.2,2444.7,1513.724997
2017/7/26,7:00:00,2444.7,2500,2444.6,2481.9,1248.305637
2017/7/26,8:00:00,2482.2,2524,2473.9,2516.5,860.4368733
2017/7/26,9:00:00,2516.9,2520,2459.3,2492.6,1155.470312
2017/7/26,10:00:00,2490,2535.1,2486,2520.6,1423.123089
2017/7/26,11:00:00,2521,2549.9,2499.7,2538.1,803.073593
2017/7/26,12:00:00,2538.1,2560.6,2523,2525.1,1108.098155
2017/7/26,13:00:00,2525,2525.5,2460.4,2481.8,2151.107694
2017/7/26,14:00:00,2482.2,2509.8,2468.6,2492.3,937.058318
2017/7/26,15:00:00,2492.3,2492.3,2408,2432.9,3680.730175
2017/7/26,16:00:00,2432,2450.4,2404,2426.4,2302.820305
2017/7/26,17:00:00,2425.2,2486.7,2424.7,2461,1330.457504
2017/7/26,18:00:00,2461,2497.9,2460.9,2469,1314.558521
2017/7/26,19:00:00,2470.3,2485.4,2461.4,2469,780.9886163
2017/7/26,20:00:00,2469,2499,2468.9,2496.3,510.6612046
2017/7/26,21:00:00,2495.4,2515.2,2449.7,2451.3,1515.593455
2017/7/26,22:00:00,2449.8,2511.4,2444.4,2511.4,1205.58221
2017/7/26,23:00:00,2511,2545.1,2503.208416,2527.73812,1928.326413
2017/7/27,0:00:00,2527.73812,2554.1,2512.4,2535.9,1025.383465
2017/7/27,1:00:00,2535.9,2558,2524.4,2545,989.9569453
2017/7/27,2:00:00,2545.5,2547.6,2511,2533.4,569.4529013
2017/7/27,3:00:00,2533.4,2573.2,2518,2545.1,936.9887816
2017/7/27,4:00:00,2542.1,2580,2542.1,2567.8,547.7351031
